Grocery Store Name,Number Classification,Word Classification,Address ,Zip Code,Median Income for Zipcode,Mean Income for Zipcode,Population of Zipcode
Safeway,2,Medium,"8330 N Ivanhoe St, Portland, OR 97203","""97203""",43918,53190,27612
Safeway,2,Medium,"5920 NE Martin Luther King Jr Blvd, Portland, OR 97211","""97211""",55037,66701,30688
Safeway,2,Medium,"6901 NE Sandy Blvd, Portland, OR 97213","""97213""",59038,70226,29007
Safeway,2,Medium,"1100 NE Broadway St, Portland, OR 97232","""97232""",55155,77891,10676
Safeway,2,Medium,"1303 NW Lovejoy St, Portland, OR 97209","""97209""",34518,61098,8395
Safeway,2,Medium,"1010 SW Jefferson St, Portland, OR 97201","""97201""",51690,81269,12340
Safeway,2,Medium,"2800 SE Hawthorne Blvd, Portland, OR 97214","""97214""",48004,62390,22668
Safeway,2,Medium,"3930 SE Powell Blvd, Portland, OR 97202","""97202""",52560,66785,37097
Safeway,2,Medium,"4515 SE Woodstock Blvd, Portland, OR 97206","""97206""",48476,55472,45454
Safeway,2,Medium,"8145 SW Barbur Blvd, Portland, OR 97219","""97219""",78979,105280,37062
Safeway,2,Medium,"3527 SE 122nd Ave, Portland, OR 97236","""97236""",47870,55407,27705
Safeway,2,Medium,"1001 SW Highland Dr, Gresham, OR 97080","""97080""",62760,72111,33590
Safeway,2,Medium,"1455 NE Division St, Gresham, OR 97030","""97030""",45355,54363,31968
Safeway,2,Medium,"2501 SW Cherry Park Rd, Troutdale, OR 97060","""97060""",60353,69529,17978
Target,2,Medium,"1555 N Tomahawk Island Dr, Portland, OR 97217","""97217""",48622,59065,30072
Target,2,Medium,"939 SW Morrison St, Portland, OR 97205","""97205""",40051,58869,6682
Target,2,Medium,"9401 NE Cascades Pkwy, Portland, OR 97220","""97220""",43212,53688,27422
Target,2,Medium,"3031 SE Powell Blvd, Portland, OR 97202","""97202""",52560,66785,37097
Target,2,Medium,"9800 SE Washington St, Portland, OR 97216","""97216""",43896,50449,13563
Target,2,Medium,"21500 NE Halsey St, Fairview, OR 97024","""97024""",51056,64962,8721
